,French,English
3646,fr|trompes}},fr | tubal}}
3647,fr|résister}},fr | resist}}
3648,fr|technologie}},fr | technology}}
3649,fr|patrie}},fr | homeland}}
3650,fr|conséquences}},fr | consequences}}
3651,fr|Margaret}},fr | Margaret}}
3652,fr|cousine}},fr | cousin}}
3653,fr|habits}},fr | clothes}}
3654,fr|splendide}},fr | beautiful}}
3655,fr|Ross}},fr | Ross}}
3656,fr|pipe}},fr | pipe}}
3657,fr|abattu}},fr | shot}}
3658,fr|cran}},fr | Screen}}
3659,fr|nue}},fr | naked}}
3660,fr|tuyau}},fr | pipe}}
3661,fr|accueillir}},fr | host}}
3662,fr|découverte}},fr | discovering}}
3663,fr|arracher}},fr | rip}}
3664,fr|régime}},fr |}} regime
3665,fr|reçoit}},fr | received}}
3666,fr|album}},fr | album}}
3667,fr|levez}},fr | lift}}
3668,fr|piqué}},fr | stung}}
3669,fr|original}},fr | original}}
3670,fr|remise}},fr | delivery}}
3671,fr|allume}},fr | lights}}
3672,fr|promotion}},fr | promotional}}
3673,fr|juan}},fr | juan}}
3674,fr|examiner}},fr | examine}}
3675,fr|franc}},fr | franc}}
3676,fr|filé}},fr | spun}}
3677,fr|éteint}},fr | off}}
3678,fr|canapé}},fr | couch}}
3679,fr|commander}},fr | command}}
3680,fr|dessin}},fr | drawing}}
3681,fr|guère}},fr | little}}
3682,fr|interroger}},fr | question}}
3683,fr|oscar}},fr | Oscar}}
3684,fr|paraître}},fr | appear}}
3685,fr|découvre}},fr | discovering}}
3686,fr|département}},fr |}} department
3687,fr|vise}},fr | aims}}
3688,fr|obéir}},fr | obey}}
3689,fr|renforts}},fr | reinforcements}}
3690,fr|lily}},fr | lily}}
3691,fr|événements}},fr | events}}
3692,fr|innocents}},fr | innocent}}
3693,fr|ç}},fr | ç}}
3694,fr|organisé}},fr | organized}}
3695,fr|sain}},fr | healthy}}
3696,fr|devras}},fr |'ll have}}
3697,fr|reprends}},fr | rebuke}}
3698,fr|goutte}},fr | drop}}
3699,fr|cole}},fr | cole}}
3700,fr|souffert}},fr | suffered}}
3701,fr|excitant}},fr | exciting}}
3702,fr|façons}},fr |}} ways
3703,fr|saurai}},fr | know}}
3704,fr|charlotte}},fr | charlotte}}
3705,fr|sou}},fr | penny}}
3706,fr|réveil}},fr | alarm}}
3707,fr|ken}},fr | ken}}
3708,fr|benny}},fr | benny}}
3709,fr|usa}},fr | usa}}
3710,fr|volée}},fr | fly}}
3711,fr|préférerais}},fr | prefer}}
3712,fr|suprême}},fr | Supreme}}
3713,fr|tarte}},fr | pie}}
3714,fr|changent}},fr | change}}
3715,fr|revienne}},fr |}} return
3716,fr|solitaire}},fr | solitary}}
3717,fr|cravate}},fr |}} tie
3718,fr|rocky}},fr | rocky}}
3719,fr|vérifiez}},fr | check}}
3720,fr|ose}},fr | dare}}
3721,fr|souper}},fr | dinner}}
3722,fr|événement}},fr | event}}
3723,fr|remarque}},fr | notice}}
3724,fr|chevalier}},fr | Knight}}
3725,fr|suffisamment}},fr | sufficient}}
3726,fr|charger}},fr | load}}
3727,fr|produire}},fr | producing}}
3728,fr|repris}},fr | resumed}}
3729,fr|record}},fr |}} record
3730,fr|carol}},fr | carol}}
3731,fr|williams}},fr |}} williams
3732,fr|jo}},fr | jo}}
3733,fr|préparez}},fr | ready}}
3734,fr|garce}},fr | bitchy}}
3735,fr|mêle}},fr | mixed}}
3736,fr|étape}},fr |}} step
3737,fr|motel}},fr | motel}}
3738,fr|pro}},fr | pro}}
3739,fr|autorisé}},fr | licensed}}
3740,fr|principale}},fr | main}}
3741,fr|clinique}},fr | clinical}}
3742,fr|devenus}},fr | become}}
3743,fr|italie}},fr | Italy}}
3744,fr|intéressante}},fr | exciting}}
3745,fr|jonathan}},fr | jonathan}}
3746,fr|abattre}},fr | down}}
3747,fr|ère}},fr | era}}
3748,fr|invisible}},fr | invisible}}
3749,fr|dégâts}},fr | Damage}}
3750,fr|clark}},fr | clark}}
3751,fr|élever}},fr | raise}}
3752,fr|suggère}},fr | suggest}}
3753,fr|rigole}},fr | laughs}}
3754,fr|dent}},fr | tooth}}
3755,fr|éclater}},fr | break}}
3756,fr|tabac}},fr | Tobacco}}
3757,fr|disques}},fr | records}}
3758,fr|manquait}},fr | wanting}}
3759,fr|contacter}},fr | contact}}
3760,fr|valait}},fr | worth}}
3761,fr|fusils}},fr | guns}}
3762,fr|émotions}},fr | emotions}}
3763,fr|queje}},fr | queje}}
3764,fr|publicité}},fr | advertising}}
3765,fr|simples}},fr | simple}}
3766,fr|éléments}},fr |}} items
3767,fr|exception}},fr | exceptional}}
3768,fr|sincère}},fr | sincere}}
3769,fr|rattraper}},fr |}} catch
3770,fr|efficace}},fr | effective}}
3771,fr|éteindre}},fr | off}}
3772,fr|linge}},fr | machine}}
3773,fr|goûter}},fr | taste}}
3774,fr|nathan}},fr | nathan}}
3775,fr|possibilité}},fr | option}}
3776,fr|canard}},fr | duck}}
3777,fr|marqué}},fr | marked}}
3778,fr|caporal}},fr | Corporal}}
3779,fr|déplacer}},fr | shift}}
3780,fr|devrez}},fr | will}}
3781,fr|morale}},fr | corporation}}
3782,fr|insiste}},fr | insists}}
3783,fr|katie}},fr | katie}}
3784,fr|parking}},fr |}} Parking
3785,fr|identifier}},fr | identify}}
3786,fr|pouvaient}},fr | could}}
3787,fr|personnages}},fr | characters}}
3788,fr|cabane}},fr | cabin}}
3789,fr|intéressé}},fr | concerned}}
3790,fr|stylo}},fr | pen}}
3791,fr|adoré}},fr | loved}}
3792,fr|attaché}},fr | attached}}
3793,fr|cri}},fr | cry}}
3794,fr|kg}},fr | kg}}
3795,fr|angle}},fr | Angle}}
3796,fr|séparés}},fr | separated}}
3797,fr|traîne}},fr | lagging}}
3798,fr|instinct}},fr | instinct}}
3799,fr|déclaré}},fr | said}}
3800,fr|sire}},fr | sire}}
3801,fr|pleut}},fr | rains}}
3802,fr|séjour}},fr | stay}}
3803,fr|ordures}},fr | garbage}}
3804,fr|Raymond}},fr | Raymond}}
3805,fr|délire}},fr | delirium}}
3806,fr|pires}},fr | worst}}
3807,fr|rumeurs}},fr | rumors}}
3808,fr|fauteuil}},fr | chair}}
3809,fr|coûté}},fr | cost}}
3810,fr|adjoint}},fr |}} Assistant
3811,fr|Stephen}},fr | Stephen}}
3812,fr|collègue}},fr | colleague}}
3813,fr|one}},fr | one}}
3814,fr|poches}},fr | pockets}}
3815,fr|novembre}},fr | November}}
3816,fr|illégal}},fr | illegal}}
3817,fr|restons}},fr | stay}}
3818,fr|bonhomme}},fr | man}}
3819,fr|appuie}},fr | pressed}}
3820,fr|difficiles}},fr | difficult}}
3821,fr|laissera}},fr | leave}}
3822,fr|courte}},fr | short}}
3823,fr|lâ}},fr | la}}
3824,fr|tuent}},fr | kill}}
3825,fr|lot}},fr | package}}
3826,fr|levé}},fr | up}}
3827,fr|seules}},fr | only}}
3828,fr|vivez}},fr | live}}
3829,fr|personnalité}},fr | personality}}
3830,fr|leo}},fr | leo}}
3831,fr|scandale}},fr | scandal}}
3832,fr|conclu}},fr | concluded}}
3833,fr|frigo}},fr |}} fridge
3834,fr|admire}},fr | admires}}
3835,fr|aïe}},fr | ouch}}
3836,fr|tragédie}},fr | tragedy}}
3837,fr|oblige}},fr | obliges}}
3838,fr|commandes}},fr |}} commands
3839,fr|pénis}},fr | penis}}
3840,fr|boue}},fr | mud}}
3841,fr|dettes}},fr |}} debts
3842,fr|enseigne}},fr | sign}}
3843,fr|obscurité}},fr | dark}}
3844,fr|pages}},fr |}} pages
3845,fr|chapitre}},fr | chapter}}
3846,fr|violent}},fr | sharp}}
3847,fr|signature}},fr | Signature}}
3848,fr|conseille}},fr | advises}}
3849,fr|vendeur}},fr | seller}}
3850,fr|visages}},fr | Faces}}
3851,fr|rarement}},fr | rarely}}
3852,fr|essayait}},fr | attempting}}
3853,fr|serré}},fr | tight}}
3854,fr|mères}},fr | mothers}}
3855,fr|tels}},fr | such}}
3856,fr|halte}},fr | stop}}
3857,fr|collection}},fr | collection}}
3858,fr|désastre}},fr | disaster}}
3859,fr|noix}},fr | nuts}}
3860,fr|mourra}},fr | die}}
3861,fr|rejoins}},fr | join}}
3862,fr|reconnaissance}},fr | recognition}}
3863,fr|blagues}},fr | jokes}}
3864,fr|duke}},fr | duke}}
3865,fr|méthode}},fr |}} method
3866,fr|bienvenu}},fr | welcome}}
3867,fr|donnait}},fr | gave}}
3868,fr|gratuit}},fr | Free}}
3869,fr|boîtes}},fr | boxes}}
3870,fr|marches}},fr | steps}}
3871,fr|Brooklyn}},fr | Brooklyn}}
3872,fr|valises}},fr | suitcases}}
3873,fr|enfermé}},fr | locked}}
3874,fr|gants}},fr | gloves}}
3875,fr|rompu}},fr | broken}}
3876,fr|coïncidence}},fr | coincidence}}
3877,fr|vilain}},fr | naughty}}
3878,fr|poing}},fr | fist}}
3879,fr|britannique}},fr | UK}}
3880,fr|dispute}},fr | argument}}
3881,fr|trahison}},fr | treason}}
3882,fr|téléphoné}},fr | phoned}}
3883,fr|août}},fr | August}}
3884,fr|feuilles}},fr | leaves}}
3885,fr|quatrième}},fr |}} fourth
3886,fr|révérend}},fr | Reverend}}
3887,fr|censée}},fr | supposed}}
3888,fr|devaient}},fr | must}}
3889,fr|placé}},fr | placed}}
3890,fr|ténèbres}},fr | darkness}}
3891,fr|enfui}},fr | fled}}
3892,fr|impliqué}},fr | engaged}}
3893,fr|vire}},fr | veers}}
3894,fr|pilules}},fr | pills}}
3895,fr|préfères}},fr | prefer}}
3896,fr|for}},fr | for}}
3897,fr|population}},fr | people}}
3898,fr|manges}},fr | eat}}
3899,fr|pleuré}},fr | cried}}
3900,fr|chasseur}},fr | hunter}}
3901,fr|livraison}},fr | delivery}}
3902,fr|reprend}},fr | resumes}}
3903,fr|emporte}},fr | prevails}}
3904,fr|louer}},fr | rent}}
3905,fr|mette}},fr | put}}
3906,fr|bizarres}},fr | odd}}
3907,fr|torture}},fr | torture}}
3908,fr|remarquable}},fr | exceptional}}
3909,fr|termes}},fr | words}}
3910,fr|journalistes}},fr | reporters}}
3911,fr|honnêtement}},fr | honestly}}
3912,fr|câble}},fr | cable}}
3913,fr|longs}},fr | long}}
3914,fr|estime}},fr | considers}}
3915,fr|démons}},fr | demons}}
3916,fr|impôts}},fr |}} taxes
3917,fr|massacre}},fr | killing}}
3918,fr|pomme}},fr | apple}}
3919,fr|autoroute}},fr | highway}}
3920,fr|sociale}},fr | social}}
3921,fr|moyenne}},fr | Average}}
3922,fr|ingénieur}},fr | engineer}}
3923,fr|doug}},fr | doug}}
3924,fr|péchés}},fr | sins}}
3925,fr|laissent}},fr | leave}}
3926,fr|tarder}},fr | delay}}
3927,fr|divine}},fr | Divine}}
3928,fr|éloigner}},fr | away}}
3929,fr|clan}},fr | clan}}
3930,fr|obligée}},fr | required}}
3931,fr|xena}},fr | xena}}
3932,fr|merveille}},fr | marvel}}
3933,fr|concentrer}},fr | concentrate}}
3934,fr|venons}},fr | just}}
3935,fr|opéra}},fr | opera}}
3936,fr|oxygène}},fr | oxygen}}
3937,fr|sexuel}},fr | sexual}}
3938,fr|industrie}},fr |}} industry
3939,fr|aimerai}},fr | love}}
3940,fr|z}},fr | z}}
3941,fr|sortons}},fr | go out}}
3942,fr|accent}},fr | accent}}
3943,fr|lawrence}},fr | lawrence}}
3944,fr|gris}},fr | gray}}
3945,fr|sean}},fr | sean}}
3946,fr|mesures}},fr | steps}}
3947,fr|batterie}},fr | battery}}
3948,fr|toast}},fr | toast}}
3949,fr|postes}},fr |}} positions
3950,fr|communication}},fr |}} Communication
3951,fr|manche}},fr | handle}}
3952,fr|grandir}},fr | grow}}
3953,fr|banques}},fr | banks}}
3954,fr|tonnes}},fr | t}}
3955,fr|gentleman}},fr | gentleman}}
3956,fr|zut}},fr | damn}}
3957,fr|numéros}},fr | number}}
3958,fr|officiel}},fr | Official}}
3959,fr|chariot}},fr | truck}}
3960,fr|otages}},fr | hostages}}
3961,fr|prime}},fr | bonus}}
3962,fr|poésie}},fr | poetry}}
3963,fr|annuler}},fr | cancel}}
3964,fr|jersey}},fr |}} jersey
3965,fr|chagrin}},fr | grief}}
3966,fr|ellen}},fr | ellen}}
3967,fr|déconne}},fr | kidding}}
3968,fr|fabuleux}},fr | fabulous}}
3969,fr|dennis}},fr | dennis}}
3970,fr|complexe}},fr |}} complex
3971,fr|trafic}},fr |}} traffic
3972,fr|trouille}},fr | funk}}
3973,fr|us}},fr | us}}
3974,fr|débrouiller}},fr | fend}}
3975,fr|commencent}},fr | start}}
3976,fr|cinquante}},fr | fifty}}
3977,fr|vraies}},fr | true}}
3978,fr|discute}},fr | discussing}}
3979,fr|communiste}},fr | Communist}}
3980,fr|francs}},fr |}} francs
3981,fr|sacrifice}},fr | sacrifice}}
3982,fr|française}},en | French}}
3983,fr|foie}},fr | liver}}
3984,fr|statue}},en | Statue}}
3985,fr|résistance}},fr | strength}}
3986,fr|mettra}},fr | will}}
3987,fr|volontiers}},fr | willingly}}
3988,fr|drogues}},fr | drugs}}
3989,fr|cercueil}},fr | coffin}}
3990,fr|pendu}},fr | hanged}}
3991,fr|ignorer}},fr | ignore}}
3992,fr|tireur}},fr | shooter}}
3993,fr|eut}},fr |}} was
3994,fr|piquer}},fr | sting}}
3995,fr|creuser}},fr | dig}}
3996,fr|médaille}},fr | Medal}}
3997,fr|crée}},fr | created}}
3998,fr|équipement}},fr |}} equipment
3999,fr|phase}},fr |}} stage
4000,fr|chaos}},fr | chaos}}
4001,fr|salue}},fr | greet}}
4002,fr|survie}},en | survival}}
4003,fr|défi}},fr | challenge}}
4004,fr|trouvés}},fr | found}}
4005,fr|rencontrée}},fr | encountered}}
4006,fr|boum}},fr | boom}}
4007,fr|longues}},fr | long}}
4008,fr|telles}},fr | such}}
4009,fr|arriverai}},fr | arrive}}
4010,fr|gâché}},fr | ruined}}
4011,fr|harris}},fr |}} harris
4012,fr|brigade}},fr | Brigade}}
4013,fr|fiers}},fr | proud}}
4014,fr|ennuyeux}},fr | boring}}
4015,fr|cieux}},fr | heavens}}
4016,fr|contient}},fr | contains}}
4017,fr|aile}},fr | wing}}
4018,fr|oignons}},fr | onions}}
4019,fr|vaches}},fr | cows}}
4020,fr|sensation}},fr | sensation}}
4021,fr|chanceux}},fr | lucky}}
4022,fr|angela}},fr | angela}}
4023,fr|gamine}},fr | girl}}
4024,fr|cooper}},fr | cooper}}
4025,fr|cessé}},fr | stopped}}
4026,fr|tina}},fr | tina}}
4027,fr|ressemblait}},fr | like}}
4028,fr|plante}},fr | plant}}
4029,fr|scènes}},fr | scene}}
4030,fr|solitude}},fr |}} loneliness
4031,fr|activité}},fr |}} activity
4032,fr|mobile}},fr | Mobile}}
4033,fr|principe}},fr |}} principle
4034,fr|rejoint}},fr | joined}}
4035,fr|économie}},fr | economy}}
4036,fr|armés}},fr | armed}}
4037,fr|plastique}},fr | plastic}}
4038,fr|regardent}},fr | look}}
4039,fr|chant}},fr | song}}
4040,fr|verte}},fr | green}}
4041,fr|couru}},fr | ran}}
4042,fr|regardait}},fr | watched}}
4043,fr|ford}},fr | ford}}
4044,fr|besoins}},fr |}} needs
4045,fr|terroriste}},fr | terrorist}}
4046,fr|assister}},fr | assist}}
4047,fr|bail}},fr | lease}}
4048,fr|roue}},fr | wheel}}
4049,fr|putes}},fr | whores}}
4050,fr|sachez}},fr | know}}
4051,fr|harold}},fr | harold}}
4052,fr|amenez}},fr | bring}}
4053,fr|génération}},fr | generation}}
4054,fr|causé}},fr | caused}}
4055,fr|entraîneur}},fr | coach}}
4056,fr|rigoles}},fr | gutters}}
4057,fr|amanda}},fr | amanda}}
4058,fr|présenté}},fr | presented}}
4059,fr|trompez}},fr | mistaken}}
4060,fr|mordu}},fr | bitten}}
4061,fr|vampire}},fr | vampire}}
4062,fr|jacques}},fr |}} Jacques
4063,fr|fans}},fr |}} fans
4064,fr|bourré}},fr | stuffed}}
4065,fr|éliminer}},fr | remove}}
4066,fr|enfoirés}},fr | motherfuckers}}
4067,fr|freddy}},fr | freddy}}
4068,fr|bloc}},fr | block}}
4069,fr|pourvu}},fr | long}}
4070,fr|décisions}},fr |}} decisions
4071,fr|eve}},fr | eve}}
4072,fr|jacob}},fr | jacob}}
4073,fr|symbole}},fr | symbol}}
4074,fr|croirait}},fr | believe}}
4075,fr|sagesse}},fr | wisdom}}
4076,fr|politiques}},fr |}} policies
4077,fr|taux}},fr |}} rate
4078,fr|nègre}},fr | negro}}
4079,fr|jetez}},fr | take}}
4080,fr|malédiction}},fr | curse}}
4081,fr|masse}},fr | mass}}
4082,fr|phrase}},fr | sentence}}
4083,fr|pompes}},fr | pumps}}
4084,fr|reconnaissant}},fr | grateful}}
4085,fr|pension}},fr | pension}}
4086,fr|renoncer}},fr | give}}
4087,fr|sexuelle}},fr | sexual}}
4088,fr|regardant}},fr | looking at}}
4089,fr|ordonne}},fr | ordered}}
4090,fr|four}},fr | oven}}
4091,fr|règne}},fr | reign}}
4092,fr|saut}},fr | jump}}
4093,fr|terreur}},fr | terror}}
4094,fr|avaler}},fr | swallow}}
4095,fr|ongles}},fr | nails}}
4096,fr|pratiquement}},fr | almost}}
4097,fr|laissons}},fr | leave}}
4098,fr|jalouse}},fr | jealous}}
4099,fr|outils}},fr | tools}}
4100,fr|espérer}},fr |}} hope
4101,fr|tueurs}},fr | killers}}
4102,fr|terriblement}},fr | terribly}}
4103,fr|charité}},fr |}} charity
4104,fr|prêtes}},fr | ready}}
4105,fr|écriture}},fr | writing}}
4106,fr|oublies}},fr | forgotten}}
4107,fr|adorent}},fr | love}}
4108,fr|etje}},fr | etje}}
4109,fr|luxe}},fr | luxury}}
4110,fr|irez}},fr | go}}
4111,fr|ambassadeur}},fr | ambassador}}
4112,fr|bush}},fr | bush}}
4113,fr|arrêtera}},fr | stop}}
4114,fr|informer}},fr | inform}}
4115,fr|orage}},fr | thunderstorm}}
4116,fr|revenus}},fr | income}}
4117,fr|pisse}},fr | piss}}
4118,fr|renvoyé}},fr | returned}}
4119,fr|sachant}},fr | knowing}}
4120,fr|tombes}},fr | graves}}
4121,fr|rois}},fr | kings}}
4122,fr|époux}},fr | bridegroom}}
4123,fr|accueil}},en | Home}}
4124,fr|relève}},fr | notes}}
4125,fr|judy}},fr | judy}}
4126,fr|aidez}},fr | help}}
4127,fr|môme}},fr | same}}
4128,fr|diego}},fr | diego}}
4129,fr|atmosphère}},fr | atmosphere}}
4130,fr|routes}},fr | routes}}
4131,fr|ravissante}},fr | beautiful}}
4132,fr|coach}},fr | coach}}
4133,fr|ennui}},fr | bored}}
4134,fr|suffisant}},fr | sufficient}}
4135,fr|poème}},fr | poem}}
4136,fr|jouets}},fr | toys}}
4137,fr|jennifer}},fr | jennifer}}
4138,fr|usage}},fr | usage}}
4139,fr|prières}},fr | prayers}}
4140,fr|revue}},fr | journal}}
4141,fr|adaptation}},fr | adaptation}}
4142,fr|suffira}},fr | sufficient}}
4143,fr|collège}},fr |}} college
4144,fr|singes}},fr | Monkey}}
4145,fr|otage}},fr | hostage}}
4146,fr|apprécier}},fr | appreciate}}
4147,fr|diplôme}},fr | Diploma}}
4148,fr|bâtard}},fr | bastard}}
4149,fr|destination}},fr | destination}}
4150,fr|analyse}},fr | analysis}}
4151,fr|caroline}},fr | caroline}}
4152,fr|demandent}},fr | require}}
4153,fr|décembre}},fr | December}}
4154,fr|côtes}},fr | coasts}}
4155,fr|casier}},fr | bin}}
4156,fr|fermes}},fr | farms}}
4157,fr|patrouille}},fr | patrol}}
4158,fr|royal}},fr | royal}}
4159,fr|tit}},fr | tit}}
4160,fr|mérites}},fr | merits}}
4161,fr|texte}},fr | text}}
4162,fr|jusque}},fr | down}}
4163,fr|tigre}},fr | tiger}}
4164,fr|çà}},fr | here}}
4165,fr|be}},fr | be}}
4166,fr|médical}},fr | Medical}}
4167,fr|ieur}},fr | IOR}}
4168,fr|svp}},fr | please}}
4169,fr|ron}},fr | ron}}
4170,fr|pouce}},fr | inch}}
4171,fr|plaisantez}},fr | kidding}}
4172,fr|requin}},fr | shark}}
4173,fr|essentiel}},fr | essential}}
4174,fr|espèces}},fr | species}}
4175,fr|fruit}},fr | fruit}}
4176,fr|came}},fr | cam}}
4177,fr|cesser}},fr | stop}}
4178,fr|allen}},fr | allen}}
4179,fr|teddy}},fr | Teddy}}
4180,fr|annulé}},fr | cancel}}
4181,fr|dangereuse}},fr | dangerous}}
4182,fr|poète}},fr | poet}}
4183,fr|nanas}},fr | babes}}
4184,fr|tiendra}},fr | will}}
4185,fr|emmenez}},fr | take him}}
4186,fr|passerai}},fr | pass}}
4187,fr|automne}},fr | fall}}
4188,fr|habillé}},fr | dressed}}
4189,fr|guerrier}},fr | warrior}}
4190,fr|pique}},fr | Spades}}
4191,fr|savon}},fr | soap}}
4192,fr|satisfait}},fr | satisfied}}
4193,fr|sépare}},fr | separates}}
4194,fr|agi}},fr | acted}}
4195,fr|ordonné}},fr | ordered}}
4196,fr|serre}},fr | greenhouse}}
4197,fr|neil}},fr | neil}}
4198,fr|cassée}},fr | broken}}
4199,fr|deviez}},fr | need}}
4200,fr|arts}},fr | Arts}}
4201,fr|ramasser}},fr | pick}}
4202,fr|anthony}},fr | anthony}}
4203,fr|baisser}},fr | drop}}
4204,fr|pirates}},fr | pirates}}
4205,fr|avertir}},fr | warn}}
4206,fr|menacé}},fr | threatened}}
4207,fr|so}},fr | n}}
4208,fr|détendre}},fr | relaxation}}
4209,fr|rembourser}},fr | refund}}
4210,fr|fabrique}},fr | factory}}
4211,fr|métal}},fr | metal}}
4212,fr|expliqué}},fr |}} explained
4213,fr|lecture}},fr | read}}
4214,fr|josh}},fr | josh}}
4215,fr|attire}},fr | attracts}}
4216,fr|carrément}},fr | downright}}
4217,fr|irons}},fr | go}}
4218,fr|mere}},fr | mother}}
4219,fr|combats}},fr | fights}}
4220,fr|pensons}},fr | believe}}
4221,fr|mélange}},fr | mixture}}
4222,fr|travaillais}},fr | worked}}
4223,fr|syndicat}},fr |}} union
4224,fr|queique}},fr | queique}}
4225,fr|indice}},fr | index}}
4226,fr|marines}},fr | marine}}
4227,fr|enverrai}},fr | send}}
4228,fr|hill}},fr | hill}}
4229,fr|processus}},fr |}} process
4230,fr|joint}},fr | O}}
4231,fr|ouvriers}},fr | laborers}}
4232,fr|marques}},fr |}} marks
4233,fr|dépassé}},fr | exceeded}}
4234,fr|pa}},fr | pa}}
4235,fr|ailles}},fr | Ailles}}
4236,fr|bats}},fr | beat}}
4237,fr|pourront}},fr | will}}
4238,fr|clown}},fr | clown}}
4239,fr|poubelle}},fr | bin}}
4240,fr|marins}},fr | sailors}}
4241,fr|boisson}},fr | beverage}}
4242,fr|vaincre}},fr | defeat}}
4243,fr|combinaison}},fr | combination}}
4244,fr|demandait}},fr | wondered}}
4245,fr|testament}},fr | will}}
4246,fr|sonné}},fr | rang}}
4247,fr|flammes}},fr | flames}}
4248,fr|dégueulasse}},fr | disgusting}}
4249,fr|ø}},fr | ø}}
4250,fr|administration}},fr | administration}}
4251,fr|commissariat}},fr | Police}}
4252,fr|envoyée}},fr |}} sent
4253,fr|green}},fr | green}}
4254,fr|dépose}},fr | files}}
4255,fr|lâché}},fr | loose}}
4256,fr|réveillée}},fr | awake}}
4257,fr|épaules}},fr | shoulders}}
4258,fr|jay}},fr | jay}}
4259,fr|artistes}},fr | artists}}
4260,fr|culotte}},fr | panties}}
4261,fr|vides}},fr | empty}}
4262,fr|er}},fr | er}}
4263,fr|énormément}},fr | greatly}}
4264,fr|team}},fr | team}}
4265,fr|quittes}},fr | quits}}
4266,fr|accuse}},fr | accuses}}
4267,fr|magicien}},fr | magician}}
4268,fr|importants}},fr | important}}
4269,fr|direz}},fr | say}}
4270,fr|fouiller}},fr | search}}
4271,fr|paierai}},fr | pay}}
4272,fr|écoles}},fr |}} schools
4273,fr|cm}},fr | cm}}
4274,fr|reverra}},fr | will review}}
4275,fr|articles}},fr | items}}
4276,fr|trône}},fr | throne}}
4277,fr|laboratoire}},fr | laboratory}}
4278,fr|Andrew}},fr | Andrew}}
4279,fr|panier}},fr | cart}}
4280,fr|endormi}},fr | asleep}}
4281,fr|lave}},fr | washing}}
4282,fr|buddy}},fr | buddy}}
4283,fr|cuir}},fr | Leather}}
4284,fr|huh}},fr | huh}}
4285,fr|foutus}},fr | fucking}}
4286,fr|resterai}},fr | stay}}
4287,fr|cendres}},fr | ashes}}
4288,fr|stone}},fr | stone}}
4289,fr|environnement}},fr |}} environment
4290,fr|rumeur}},fr | rumor}}
4291,fr|interrompre}},fr | interrupt}}
4292,fr|vaudrait}},fr | would}}
4293,fr|matinée}},fr | morning}}
4294,fr|risquer}},fr | risking}}
4295,fr|tranquilles}},fr | quiet}}
4296,fr|earl}},fr | earl}}
4297,fr|transformer}},fr | convert}}
4298,fr|planté}},fr | planted}}
4299,fr|costumes}},fr | suits}}
4300,fr|mickey}},fr | mickey}}
4301,fr|machin}},fr | foo}}
4302,fr|transport}},fr | transportation}}
4303,fr|señor}},fr | señor}}
4304,fr|indique}},fr |}} indicates
4305,fr|citoyen}},fr | citizen}}
4306,fr|aurions}},fr | would}}
4307,fr|times}},fr |}} times
4308,fr|viol}},fr | rape}}
4309,fr|particulièrement}},fr | particularly}}
4310,fr|pourrons}},fr | can}}
4311,fr|shirt}},fr | shirt}}
4312,fr|connards}},fr | assholes}}
4313,fr|casino}},fr | casino}}
4314,fr|douter}},fr | doubt}}
4315,fr|pendre}},fr | hang}}
4316,fr|essaierai}},fr |}} try
4317,fr|accomplir}},fr | accomplish}}
4318,fr|pipi}},fr | pee}}
4319,fr|allumer}},fr | switch}}
4320,fr|reviennent}},fr |}} return
4321,fr|certes}},fr | certainly}}
4322,fr|dessert}},fr | dessert}}
4323,fr|curiosité}},fr | curious}}
4324,fr|fraîche}},fr | fresh}}
4325,fr|lié}},fr | related}}
4326,fr|maurice}},fr | maurice}}
4327,fr|little}},fr | little}}
4328,fr|disaient}},fr | say}}
4329,fr|vodka}},fr | vodka}}
4330,fr|pétrin}},fr | trouble}}
4331,fr|témoignage}},fr | testimony}}
4332,fr|déclare}},fr | states}}
4333,fr|scientifiques}},fr | scientists}}
4334,fr|coco}},fr | coconut}}
4335,fr|baissez}},fr | lower}}
4336,fr|Anderson}},fr |}} Anderson
4337,fr|censés}},fr | supposed}}
4338,fr|Kansas}},fr | Kansas}}
4339,fr|boules}},fr | balls}}
4340,fr|sauras}},fr |'ll know}}
4341,fr|éclair}},fr | flash}}
4342,fr|vain}},fr | vain}}
4343,fr|nuage}},fr |}} cloud
4344,fr|création}},fr | creation}}
4345,fr|anneau}},fr | ring}}
4346,fr|fumier}},fr | manure}}
4347,fr|rio}},fr | rio}}
4348,fr|dose}},fr | dose}}
4349,fr|profonde}},fr | deep}}
4350,fr|étude}},fr |}} study
4351,fr|atelier}},fr | workshop}}
4352,fr|cuisiner}},fr | cook}}
4353,fr|vaux}},fr | dale}}
4354,fr|malheureuse}},fr | unhappy}}
4355,fr|catholique}},fr | Catholic}}
4356,fr|zoo}},fr | zoo}}
4357,fr|précisément}},fr | precisely}}
4358,fr|talents}},fr | talents}}
4359,fr|activités}},fr |}} activities
4360,fr|importantes}},fr | significant}}
4361,fr|bouteilles}},fr | bottles}}
4362,fr|vomir}},fr | vomit}}
4363,fr|tonnerre}},fr | thunder}}
4364,fr|ned}},fr | ned}}
4365,fr|assuré}},fr | assured}}
4366,fr|plantes}},fr | plants}}
4367,fr|hong}},fr | hong}}
4368,fr|destinée}},fr | for}}
4369,fr|plaisanterie}},fr | joke}}
4370,fr|circuit}},fr | system}}
4371,fr|piges}},fr | gauges}}
4372,fr|Moore}},fr | Moore}}
4373,fr|observer}},fr | observe}}
